,Age,Gender,Home Language,Father Occupation,Mother Occupation,Number Of Siblings,Father Education,Mother Education,School Distance,Means to school,House Lighting,School Infrustructure,School Meal per day,School Cost,GPA,Family income source,Class Label,Bangla,English,Math,Science,History,Social Science,Religious Study,Family Annual income,Extra Tution,Hours of study per day
775,10-13 years,female,Native Language,Business,Home maker,None,primary,primary,1-2 km,School Bus/Bus,Electricity,Electricity,Once,High,2.9,Own business,No,31,44,67,88,61,64,51,100000,No,2 hours
776,13-15 years,male,Bangla,Worker,Home maker,Two Children,Masters/ Equivalent and above,secondary,4-5 km,School Bus/Bus,Other,Teaching facilities,None,High,3.47,Casual Wage,No,80,78,84,32,58,78,76,250000,Yes,3 hours
777,13-15 years,male,English,Unemployed,Home maker,Four or more,primary,Honors/Equivalent ,1-2 km,School Bus/Bus,Electricity,Water,None,High,2.84,Pansion,No,37,47,40,25,82,88,78,250000,Yes,2 hours
778,10-13 years,male,Native Language,Worker,Home maker,Four or more,primary,secondary,1-2 km,Walk,Electricity,Teaching facilities,None,Mediam,3.2,Casual Wage,No,84,62,69,50,32,76,75,450000,Yes,3 hours
779,10-13 years,female,Bangla,Worker,Home maker,Two Children,Honors/ Equivalent ,None,2-3 km,School Bus/Bus,Other,Teaching facilities,None,Low,3.07,Casual Wage,No,55,41,60,88,85,60,41,350000,Yes,3 hours
780,10-13 years,female,Native Language,Freelancer ,Business,None,Honors/ Equivalent ,secondary,4-5 km,Rickshaw,Electricity,Teaching facilities,None,Low,2.42,Own business,Yes,68,33,38,39,86,29,46,100000,No,1 hours
781,13-15 years,female,Bangla,Worker,Public sector,None,secondary,secondary,6-7 km,Walk,Paraffin,Water,Once,High,2.86,Casual Wage,No,50,39,85,51,80,72,23,650000,Yes,2 hours
782,10-13 years,female,Bangla,Worker,Immigrant,Two Children,primary,None,1-2 km,Walk,Electricity,Teaching facilities,None,High,2.22,Casual Wage,Yes,28,47,24,44,37,59,72,180000,No,1 hours
783,13-15 years,male,Native Language,Worker,Home maker,Three Children,Masters/ Equivalent and above,secondary,1-2 km,Rickshaw,Electricity,Toilet,None,High,2.85,Casual Wage,No,67,66,55,70,78,25,38,900000,Yes,2 hours
784,above 18 years,female,Native Language,Worker,Public sector,Three Children,Masters/ Equivalent and above,secondary,0-0.5 km,Walk,Electricity,Toilet,None,Mediam,3.26,Casual Wage,No,67,82,50,67,30,69,92,200000,Yes,3 hours
785,15-18 years,male,Native Language,Worker,Worker,Two Children,secondary,secondary,0-0.5 km,Private car,Electricity,Water,Once,High,2.31,Casual Wage,Yes,62,45,28,45,26,60,57,180000,No,1 hours
786,15-18 years,male,Bangla,Freelancer ,Home maker,None,primary,secondary,0-0.5 km,Walk,Other,Teaching facilities,None,High,2.91,Own business,No,55,84,57,74,54,25,59,200000,Yes,2 hours
787,13-15 years,female,Native Language,Agriculture,Home maker,None,None,secondary,6-7 km,Rickshaw,Electricity,Toilet,None,High,2.64,Farming,No,82,46,79,33,61,24,45,400000,Yes,2 hours
788,10-13 years,female,Native Language,Freelancer ,Home maker,Four or more,secondary,None,0.5-1 km,School Bus/Bus,Other,Teaching facilities,None,Low,2.91,Own business,No,47,76,38,75,31,69,72,750000,Yes,2 hours
789,10-13 years,male,Bangla,Business,Home maker,None,secondary,Honors/Equivalent ,0-0.5 km,Walk,Other,Teaching facilities,None,Mediam,2.38,Own business,Yes,21,64,31,84,71,40,22,200000,Yes,1 hours
790,13-15 years,male,Bangla,Immigrant,Business,Two Children,Masters/ Equivalent and above,secondary,1-2 km,Walk,Electricity,Teaching facilities,None,High,2.12,Remittance,Yes,28,44,45,83,22,31,44,300000,Yes,1 hours
791,10-13 years,female,Bangla,Private sector,Public sector,None,secondary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,2.65,Casual Wage,No,86,46,35,38,73,38,55,750000,Yes,2 hours
792,15-18 years,female,Native Language,Private sector,Public sector,None,secondary,secondary,2-3 km,Walk,Electricity,Teaching facilities,Once,Mediam,2.86,Casual Wage,No,76,38,57,26,72,56,75,700000,Yes,2 hours
793,13-15 years,male,Bangla,Immigrant,Home maker,Four or more,None,primary,2-3 km,Walk,Electricity,Teaching facilities,Once,High,2.86,Remittance,No,85,24,72,63,44,33,80,300000,Yes,2 hours
794,10-13 years,male,Native Language,Worker,Home maker,Three Children,secondary,secondary,0.5-1 km,Rickshaw,Electricity,Teaching facilities,None,Mediam,3.13,Casual Wage,No,61,90,61,51,79,49,47,550000,Yes,3 hours
795,10-13 years,male,Native Language,Immigrant,Private sector,Three Children,primary,primary,2-3 km,Walk,Electricity,Teaching facilities,Once,Mediam,3.05,Remittance,No,64,83,38,67,75,63,37,400000,Yes,3 hours
796,above 18 years,male,Native Language,Unemployed,Home maker,None,secondary,primary,2-3 km,Rickshaw,Electricity,Teaching facilities,None,Mediam,2.57,Pansion,Yes,29,51,40,41,85,32,82,250000,Yes,2 hours
797,10-13 years,male,Bangla,Public sector,Public sector,Three Children,Honors/ Equivalent ,secondary,0.5-1 km,School Bus/Bus,Other,Teaching facilities,None,Low,3.23,Formal Wage,No,58,66,53,73,92,49,61,100000,No,3 hours
798,10-13 years,female,Bangla,Immigrant,Home maker,Three Children,primary,secondary,1-2 km,Walk,Electricity,Teaching facilities,None,Mediam,2.82,Remittance,No,71,31,80,36,57,34,86,200000,Yes,2 hours
799,10-13 years,female,English,Agriculture,Public sector,Three Children,Masters/ Equivalent and above,secondary,1-2 km,Walk,Electricity,Water,Once,High,3.57,Farming,No,31,82,87,92,62,73,73,550000,Yes,above 3 hours
800,13-15 years,female,Native Language,Worker,Home maker,None,secondary,secondary,1-2 km,Bicycle/motorbike,Other,Water,Once,Mediam,2.51,Casual Wage,Yes,34,54,54,82,30,65,33,500000,Yes,2 hours
801,15-18 years,male,Bangla,Public sector,Home maker,Four or more,secondary,secondary,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,High,3.0,Formal Wage,No,75,41,66,41,39,88,70,800000,Yes,3 hours
802,10-13 years,male,Native Language,Public sector,Home maker,None,primary,primary,2-3 km,Walk,Electricity,Teaching facilities,None,High,3.28,Formal Wage,No,68,89,75,65,37,62,63,500000,Yes,3 hours
803,10-13 years,male,Native Language,Agriculture,Public sector,None,secondary,primary,>7 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,3.06,Farming,No,72,83,27,50,47,82,67,200000,Yes,3 hours
804,10-13 years,female,Native Language,Worker,Worker,None,secondary,Honors/Equivalent ,2-3 km,Rickshaw,Paraffin,Teaching facilities,None,High,2.83,Casual Wage,No,62,70,84,38,48,43,51,250000,Yes,2 hours
805,15-18 years,male,Native Language,Worker,Home maker,None,primary,secondary,0.5-1 km,School Bus/Bus,Other,Teaching facilities,None,Mediam,2.92,Casual Wage,No,48,47,91,73,83,31,36,750000,Yes,2 hours
806,13-15 years,female,Native Language,Immigrant,Home maker,Two Children,Masters/ Equivalent and above,secondary,0-0.5 km,Rickshaw,Other,Teaching facilities,None,Mediam,3.08,Remittance,No,24,92,78,59,27,83,68,250000,Yes,3 hours
807,10-13 years,female,Native Language,Business,Home maker,Two Children,secondary,secondary,2-3 km,Walk,Other,Water,Once,High,2.93,Own business,No,86,20,21,76,88,76,43,100000,No,2 hours
808,15-18 years,female,Native Language,Public sector,Public sector,Three Children,Honors/ Equivalent ,secondary,0-0.5 km,Private car,Electricity,Toilet,Once,High,3.14,Formal Wage,No,58,87,49,58,73,68,46,100000,No,3 hours
809,10-13 years,male,Native Language,Worker,Home maker,None,primary,secondary,1-2 km,School Bus/Bus,Electricity,Water,Once,High,3.04,Casual Wage,No,92,69,78,92,23,40,31,500000,Yes,3 hours
810,15-18 years,male,English,Freelancer ,Home maker,None,primary,secondary,2-3 km,School Bus/Bus,Electricity,Electricity,None,Mediam,2.31,Own business,Yes,39,69,65,22,34,60,35,100000,No,1 hours
811,13-15 years,male,Native Language,Private sector,Worker,None,primary,Honors/Equivalent ,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,Mediam,3.16,Casual Wage,No,75,36,65,56,60,67,83,150000,No,3 hours
812,15-18 years,female,Native Language,Unemployed,Worker,None,Masters/ Equivalent and above,secondary,1-2 km,School Bus/Bus,Electricity,Teaching facilities,None,High,2.97,Pansion,No,71,30,43,48,82,76,66,700000,Yes,2 hours
813,13-15 years,female,Bangla,Private sector,Freelancer,Three Children,primary,secondary,4-5 km,School Bus/Bus,Electricity,Teaching facilities,None,High,2.91,Casual Wage,No,52,78,69,27,56,61,64,800000,Yes,2 hours
814,13-15 years,female,Native Language,Agriculture,Immigrant,Three Children,secondary,secondary,6-7 km,School Bus/Bus,Electricity,Teaching facilities,None,High,2.69,Farming,No,84,21,44,29,49,68,81,400000,Yes,2 hours
815,13-15 years,male,Bangla,Private sector,Home maker,Two Children,secondary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Mediam,2.83,Casual Wage,No,35,46,46,79,71,86,33,150000,No,2 hours
816,10-13 years,female,Bangla,Immigrant,Public sector,Two Children,Honors/ Equivalent ,secondary,6-7 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,3.16,Remittance,No,69,56,89,75,69,39,45,900000,Yes,3 hours
817,10-13 years,female,Native Language,Worker,Home maker,Three Children,None,secondary,1-2 km,School Bus/Bus,Other,Toilet,Once,High,2.62,Casual Wage,No,88,62,22,49,73,47,26,750000,Yes,2 hours
818,10-13 years,female,Bangla,Immigrant,Freelancer,Four or more,secondary,primary,>7 km,Walk,Other,Toilet,Once,Low,2.86,Remittance,No,25,91,24,40,79,73,69,700000,Yes,2 hours
819,13-15 years,male,Native Language,Worker,Public sector,Two Children,primary,primary,1-2 km,Rickshaw,Electricity,Toilet,Once,High,2.63,Casual Wage,No,64,43,25,63,87,58,28,200000,Yes,2 hours
820,13-15 years,female,Native Language,Business,Worker,None,Honors/ Equivalent ,secondary,6-7 km,Walk,Other,Teaching facilities,Once,High,2.61,Own business,No,27,25,51,79,21,76,87,150000,No,2 hours
821,15-18 years,female,Native Language,Unemployed,Immigrant,None,primary,primary,2-3 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,3.01,Pansion,No,87,35,33,35,62,88,81,250000,Yes,3 hours
822,13-15 years,female,Bangla,Private sector,Freelancer,Two Children,secondary,primary,>7 km,Private car,Electricity,Toilet,Once,Low,2.62,Casual Wage,No,40,23,49,69,69,75,42,550000,Yes,2 hours
823,10-13 years,female,Bangla,Worker,Home maker,Four or more,secondary,secondary,0-0.5 km,Bicycle/motorbike,Other,Teaching facilities,None,Mediam,2.96,Casual Wage,No,27,89,89,75,40,70,24,700000,Yes,2 hours
824,10-13 years,male,Bangla,Freelancer ,Private sector,Two Children,primary,secondary,0-0.5 km,Private car,Electricity,Toilet,None,High,2.54,Own business,Yes,56,73,36,83,20,47,40,200000,Yes,2 hours
825,13-15 years,female,Native Language,Public sector,Home maker,Three Children,secondary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,None,Mediam,2.44,Formal Wage,Yes,32,28,80,33,74,64,30,150000,No,1 hours
826,15-18 years,female,English,Freelancer ,Home maker,Two Children,primary,primary,6-7 km,Walk,Electricity,Teaching facilities,None,Low,2.39,Own business,Yes,82,57,83,28,26,23,36,100000,No,1 hours
827,15-18 years,male,Native Language,Private sector,Home maker,Two Children,Honors/ Equivalent ,None,1-2 km,Private car,Electricity,Toilet,Once,Mediam,3.47,Casual Wage,No,90,70,45,81,62,67,71,650000,Yes,3 hours
828,13-15 years,male,Native Language,Worker,Home maker,None,secondary,Masters/Equivalent and above,0-0.5 km,Walk,Electricity,Electricity,None,Mediam,2.91,Casual Wage,No,88,73,52,23,75,31,66,250000,Yes,2 hours
829,13-15 years,male,Native Language,Freelancer ,Freelancer,Three Children,primary,secondary,1-2 km,School Bus/Bus,Paraffin,Teaching facilities,Once,Mediam,3.11,Own business,No,85,71,90,61,52,41,36,700000,Yes,3 hours
830,10-13 years,female,Native Language,Private sector,Home maker,Two Children,primary,secondary,0-0.5 km,Bicycle/motorbike,Paraffin,Teaching facilities,None,High,3.34,Casual Wage,No,58,88,51,90,47,59,75,750000,Yes,3 hours
831,10-13 years,female,Bangla,Private sector,Home maker,Two Children,primary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,Once,High,2.49,Casual Wage,Yes,24,89,58,77,35,33,33,300000,Yes,1 hours
832,13-15 years,male,Native Language,Business,Worker,None,primary,Honors/Equivalent ,0.5-1 km,Walk,Other,Toilet,None,High,2.32,Own business,Yes,48,66,55,57,30,30,39,150000,No,1 hours
833,13-15 years,female,Native Language,Agriculture,Home maker,Four or more,None,secondary,1-2 km,Rickshaw,Electricity,Teaching facilities,None,Low,2.66,Farming,No,63,60,25,90,63,28,43,200000,Yes,2 hours
834,13-15 years,female,Bangla,Public sector,Home maker,Three Children,secondary,secondary,0-0.5 km,School Bus/Bus,Electricity,Water,None,Mediam,3.14,Formal Wage,No,67,77,91,55,33,87,29,250000,Yes,3 hours
835,15-18 years,female,Native Language,Immigrant,Home maker,None,secondary,secondary,0.5-1 km,Rickshaw,Other,Teaching facilities,Once,Low,3.02,Remittance,No,56,67,57,50,91,82,20,650000,Yes,3 hours
836,13-15 years,male,Native Language,Immigrant,Home maker,None,secondary,secondary,0-0.5 km,Walk,Paraffin,Teaching facilities,None,High,2.76,Remittance,No,88,68,22,75,77,20,37,900000,Yes,2 hours
837,10-13 years,male,Native Language,Business,Home maker,Four or more,secondary,primary,1-2 km,Private car,Electricity,Toilet,None,High,2.69,Own business,No,32,60,69,57,50,23,85,850000,Yes,2 hours
838,10-13 years,male,Native Language,Worker,Home maker,None,secondary,Honors/Equivalent ,0-0.5 km,Bicycle/motorbike,Other,Toilet,None,High,2.83,Casual Wage,No,27,86,81,53,84,27,38,700000,Yes,2 hours
839,15-18 years,male,Bangla,Immigrant,Worker,Three Children,None,secondary,4-5 km,Walk,Electricity,Teaching facilities,None,Mediam,2.06,Remittance,Yes,47,56,47,33,34,41,31,180000,No,1 hours
840,10-13 years,male,Bangla,Immigrant,Immigrant,None,secondary,secondary,0.5-1 km,School Bus/Bus,Paraffin,Toilet,None,Mediam,3.69,Remittance,No,64,92,82,41,86,78,74,900000,Yes,above 3 hours
841,above 18 years,female,Native Language,Immigrant,Home maker,Three Children,secondary,primary,>7 km,Rickshaw,Electricity,Teaching facilities,None,Low,3.0,Remittance,No,82,36,27,35,91,86,63,600000,Yes,3 hours
842,13-15 years,others,Native Language,Agriculture,Home maker,Four or more,secondary,secondary,0-0.5 km,School Bus/Bus,Electricity,Water,None,Mediam,3.16,Farming,No,28,74,79,60,87,41,74,550000,Yes,3 hours
843,13-15 years,male,Bangla,Business,Home maker,Two Children,secondary,secondary,2-3 km,Private car,Electricity,Teaching facilities,None,Mediam,2.87,Own business,No,87,65,42,41,63,66,38,350000,Yes,2 hours
844,15-18 years,male,Native Language,Immigrant,Home maker,Three Children,primary,secondary,2-3 km,School Bus/Bus,Electricity,Teaching facilities,None,Mediam,2.59,Remittance,Yes,67,28,67,67,70,28,36,550000,Yes,2 hours
845,10-13 years,female,Bangla,Private sector,Home maker,Two Children,primary,secondary,0.5-1 km,Walk,Electricity,Toilet,Once,High,2.48,Casual Wage,Yes,20,52,91,41,47,27,69,180000,No,1 hours
846,13-15 years,female,Native Language,Private sector,Business,Three Children,primary,primary,4-5 km,Walk,Electricity,Toilet,Once,Mediam,2.42,Casual Wage,Yes,67,44,36,35,61,61,35,300000,Yes,1 hours
847,10-13 years,male,English,Agriculture,Home maker,Three Children,secondary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,Once,Mediam,3.04,Farming,No,58,32,20,82,73,82,78,800000,Yes,3 hours
848,15-18 years,female,Native Language,Worker,Home maker,Two Children,primary,secondary,2-3 km,Bicycle/motorbike,Paraffin,Teaching facilities,None,High,2.49,Casual Wage,Yes,21,58,57,76,70,41,25,200000,Yes,1 hours
849,13-15 years,female,Native Language,Private sector,Home maker,Two Children,primary,secondary,1-2 km,School Bus/Bus,Electricity,Toilet,None,Mediam,2.26,Casual Wage,Yes,39,55,27,31,33,75,57,150000,No,1 hours
850,13-15 years,male,Bangla,Public sector,Home maker,Two Children,secondary,secondary,2-3 km,Walk,Other,Water,Once,Mediam,3.14,Formal Wage,No,31,63,84,73,76,39,74,700000,Yes,3 hours
851,10-13 years,male,Bangla,Freelancer ,Home maker,Three Children,Honors/ Equivalent ,secondary,2-3 km,School Bus/Bus,Electricity,Water,None,Mediam,2.4,Own business,Yes,32,54,44,67,24,83,32,100000,No,1 hours
852,15-18 years,male,Native Language,Immigrant,Agriculture,Three Children,secondary,secondary,2-3 km,Walk,Electricity,Teaching facilities,None,High,2.41,Remittance,Yes,54,59,49,50,83,20,23,180000,No,1 hours
853,15-18 years,male,Native Language,Immigrant,Home maker,Four or more,Masters/ Equivalent and above,secondary,>7 km,Rickshaw,Other,Teaching facilities,None,High,2.39,Remittance,Yes,20,33,51,50,81,32,68,300000,Yes,1 hours
854,15-18 years,female,Native Language,Freelancer ,Home maker,Three Children,secondary,primary,1-2 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,2.49,Own business,Yes,22,73,21,38,81,25,89,100000,No,1 hours
855,13-15 years,female,Native Language,Business,Home maker,Two Children,Masters/ Equivalent and above,primary,0-0.5 km,Walk,Electricity,Teaching facilities,None,High,3.16,Own business,No,53,90,86,73,71,30,39,250000,Yes,3 hours
856,13-15 years,female,Bangla,Public sector,Immigrant,Three Children,primary,secondary,0.5-1 km,Walk,Other,Teaching facilities,Once,Low,2.39,Formal Wage,Yes,42,57,20,57,43,55,61,100000,No,1 hours
857,10-13 years,male,Bangla,Agriculture,Home maker,None,None,Honors/Equivalent ,0-0.5 km,Rickshaw,Electricity,Teaching facilities,None,High,3.36,Farming,No,73,89,76,40,72,67,54,350000,Yes,3 hours
858,13-15 years,male,Native Language,Immigrant,Worker,None,primary,primary,0.5-1 km,Bicycle/motorbike,Electricity,Water,Once,Mediam,3.36,Remittance,No,76,65,82,59,72,75,42,250000,Yes,3 hours
859,10-13 years,female,Native Language,Unemployed,Home maker,Three Children,primary,Honors/Equivalent ,1-2 km,School Bus/Bus,Electricity,Water,Once,High,2.8,Pansion,No,74,48,89,34,47,70,30,850000,Yes,2 hours
860,10-13 years,male,Bangla,Worker,Home maker,None,secondary,None,2-3 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,2.67,Casual Wage,No,21,51,86,25,74,67,50,650000,Yes,2 hours
861,10-13 years,male,Bangla,Freelancer ,Home maker,Three Children,secondary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,Once,High,2.89,Own business,No,69,74,32,64,62,58,45,700000,Yes,2 hours
862,13-15 years,male,Bangla,Business,Home maker,Three Children,secondary,Honors/Equivalent ,6-7 km,Rickshaw,Other,Water,Once,Low,2.56,Own business,Yes,32,83,80,35,49,42,37,100000,No,2 hours
863,13-15 years,male,Bangla,Unemployed,Home maker,None,secondary,secondary,1-2 km,School Bus/Bus,Electricity,Teaching facilities,None,High,2.81,Pansion,No,70,29,84,26,91,71,23,300000,Yes,2 hours
864,13-15 years,female,Bangla,Private sector,Home maker,Three Children,primary,secondary,0-0.5 km,Private car,Other,Teaching facilities,None,Mediam,2.68,Casual Wage,No,41,58,77,52,88,36,23,200000,Yes,2 hours
865,13-15 years,male,Bangla,Agriculture,Public sector,Three Children,secondary,secondary,0.5-1 km,Walk,Other,Teaching facilities,Once,Mediam,3.52,Farming,No,66,85,39,64,75,79,85,150000,No,above 3 hours
866,10-13 years,male,Bangla,Public sector,Worker,Three Children,Honors/ Equivalent ,secondary,0.5-1 km,Private car,Electricity,Toilet,None,Low,2.29,Formal Wage,Yes,50,39,30,50,38,56,57,180000,No,1 hours
867,10-13 years,male,Native Language,Private sector,Home maker,Two Children,Masters/ Equivalent and above,primary,>7 km,Walk,Electricity,Teaching facilities,Once,High,3.4,Casual Wage,No,62,77,45,75,85,66,66,850000,Yes,3 hours
868,10-13 years,male,Native Language,Private sector,Home maker,Two Children,primary,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,Once,High,2.75,Casual Wage,No,53,85,57,42,23,75,50,550000,Yes,2 hours
869,10-13 years,male,Native Language,Agriculture,Freelancer,Three Children,primary,secondary,0-0.5 km,Private car,Other,Toilet,None,Mediam,3.31,Farming,No,59,48,76,74,88,88,30,550000,Yes,3 hours
870,13-15 years,male,Native Language,Immigrant,Freelancer,None,secondary,primary,0-0.5 km,Walk,Electricity,Water,None,High,2.41,Remittance,Yes,72,46,24,40,73,50,33,150000,No,1 hours
871,10-13 years,male,Bangla,Freelancer ,Home maker,None,Honors/ Equivalent ,primary,0.5-1 km,Walk,Electricity,Water,None,High,2.69,Own business,No,49,76,40,74,24,89,25,450000,Yes,2 hours
872,15-18 years,male,Bangla,Immigrant,Home maker,Three Children,secondary,None,1-2 km,Private car,Other,Teaching facilities,Once,Mediam,3.24,Remittance,No,47,73,76,89,64,29,76,600000,Yes,3 hours
873,10-13 years,female,Native Language,Unemployed,Home maker,Four or more,Honors/ Equivalent ,secondary,0-0.5 km,School Bus/Bus,Paraffin,Teaching facilities,Once,Mediam,2.54,Pansion,Yes,22,67,50,81,25,27,84,900000,Yes,2 hours
874,13-15 years,female,Native Language,Worker,Home maker,None,secondary,secondary,6-7 km,Bicycle/motorbike,Other,Toilet,Once,Low,3.06,Casual Wage,No,71,54,23,37,82,87,75,750000,Yes,3 hours
875,15-18 years,female,Bangla,Worker,Immigrant,Two Children,secondary,primary,1-2 km,Walk,Electricity,Teaching facilities,None,High,2.38,Casual Wage,Yes,30,25,68,53,44,23,90,180000,No,1 hours
876,13-15 years,female,Native Language,Worker,Freelancer,Two Children,primary,primary,1-2 km,Bicycle/motorbike,Other,Teaching facilities,Once,Mediam,2.81,Casual Wage,No,58,22,58,74,83,39,59,900000,Yes,2 hours
877,10-13 years,male,Bangla,Worker,Home maker,None,primary,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,None,Mediam,3.31,Casual Wage,No,86,73,73,22,91,47,71,750000,Yes,3 hours
878,13-15 years,male,Native Language,Business,Home maker,None,secondary,secondary,2-3 km,Bicycle/motorbike,Other,Teaching facilities,None,High,2.96,Own business,No,70,39,24,46,69,80,86,750000,Yes,2 hours
879,10-13 years,female,Native Language,Public sector,Home maker,None,primary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Toilet,None,Mediam,2.57,Formal Wage,Yes,59,30,80,51,33,72,35,350000,Yes,2 hours
880,10-13 years,male,Native Language,Business,Worker,Three Children,primary,Honors/Equivalent ,0-0.5 km,School Bus/Bus,Electricity,Water,None,Low,2.41,Own business,Yes,88,31,21,76,25,55,42,100000,No,1 hours
881,13-15 years,male,Native Language,Immigrant,Home maker,Three Children,secondary,secondary,1-2 km,Walk,Electricity,Teaching facilities,None,Low,2.97,Remittance,No,79,53,42,47,88,39,68,400000,Yes,2 hours
882,13-15 years,female,Bangla,Public sector,Business,Two Children,secondary,Honors/Equivalent ,6-7 km,Rickshaw,Electricity,Toilet,None,High,2.33,Formal Wage,Yes,35,82,48,29,75,25,32,300000,Yes,1 hours
883,10-13 years,female,Bangla,Unemployed,Home maker,Four or more,Honors/ Equivalent ,None,6-7 km,Bicycle/motorbike,Electricity,Toilet,Once,Low,2.8,Pansion,No,34,71,80,46,58,37,66,450000,Yes,2 hours
884,13-15 years,male,Bangla,Private sector,Home maker,Three Children,None,primary,0-0.5 km,Walk,Electricity,Teaching facilities,Once,Low,2.23,Casual Wage,Yes,35,55,21,47,29,39,86,200000,Yes,1 hours
885,13-15 years,female,Native Language,Private sector,Home maker,None,primary,secondary,0-0.5 km,Rickshaw,Paraffin,Toilet,None,Mediam,3.0,Casual Wage,No,70,31,74,26,60,85,74,900000,Yes,3 hours
886,13-15 years,female,Bangla,Worker,Worker,None,None,secondary,>7 km,School Bus/Bus,Electricity,Electricity,None,Mediam,2.66,Casual Wage,No,33,56,29,80,45,40,90,450000,Yes,2 hours
887,10-13 years,male,Bangla,Business,Home maker,None,primary,secondary,4-5 km,Bicycle/motorbike,Electricity,Water,None,Low,2.61,Own business,No,28,20,73,35,65,76,68,450000,Yes,2 hours
888,10-13 years,female,Bangla,Business,Immigrant,None,secondary,primary,1-2 km,School Bus/Bus,Other,Toilet,Once,Mediam,2.68,Own business,No,73,37,31,40,44,79,71,300000,Yes,2 hours
889,10-13 years,female,Bangla,Unemployed,Worker,Three Children,primary,secondary,2-3 km,Walk,Electricity,Toilet,Once,High,2.62,Pansion,No,92,28,79,34,27,62,45,250000,Yes,2 hours
890,13-15 years,female,Bangla,Immigrant,Home maker,Two Children,Masters/ Equivalent and above,secondary,0-0.5 km,Private car,Electricity,Water,None,Mediam,2.72,Remittance,No,62,86,27,26,27,62,91,400000,Yes,2 hours
891,13-15 years,female,Native Language,Business,Home maker,Two Children,primary,secondary,>7 km,Private car,Other,Water,Once,High,2.46,Own business,Yes,57,48,20,25,85,44,66,200000,Yes,1 hours
892,15-18 years,female,Native Language,Immigrant,Home maker,Three Children,secondary,Honors/Equivalent ,2-3 km,Rickshaw,Electricity,Teaching facilities,None,High,3.39,Remittance,No,52,73,77,76,76,91,29,350000,Yes,3 hours
893,13-15 years,female,Bangla,Immigrant,Agriculture,None,secondary,primary,>7 km,School Bus/Bus,Electricity,Teaching facilities,None,High,2.49,Remittance,Yes,59,34,57,48,65,44,42,200000,Yes,1 hours
894,13-15 years,female,Bangla,Public sector,Business,Four or more,primary,secondary,1-2 km,Walk,Electricity,Teaching facilities,None,Mediam,2.81,Formal Wage,No,90,80,53,30,88,23,29,450000,Yes,2 hours
895,13-15 years,male,Native Language,Private sector,Home maker,Two Children,secondary,Honors/Equivalent ,0-0.5 km,Walk,Other,Toilet,Once,Mediam,2.49,Casual Wage,Yes,66,38,26,44,87,62,25,150000,No,1 hours
896,10-13 years,male,Native Language,Immigrant,Worker,Two Children,primary,primary,0.5-1 km,Rickshaw,Electricity,Teaching facilities,None,Mediam,2.81,Remittance,No,63,37,65,63,48,32,86,750000,Yes,2 hours
897,13-15 years,male,Bangla,Agriculture,Business,Three Children,secondary,primary,4-5 km,Rickshaw,Other,Teaching facilities,Once,High,2.71,Farming,No,78,38,55,46,77,58,27,800000,Yes,2 hours
898,15-18 years,female,Bangla,Immigrant,Home maker,Three Children,None,primary,0-0.5 km,Walk,Other,Teaching facilities,None,High,3.37,Remittance,No,63,62,53,78,89,86,41,850000,Yes,3 hours
899,10-13 years,female,Native Language,Unemployed,Worker,Three Children,secondary,secondary,1-2 km,Bicycle/motorbike,Electricity,Teaching facilities,None,Low,3.04,Pansion,No,76,91,65,65,36,45,47,150000,No,3 hours
900,13-15 years,male,Bangla,Agriculture,Worker,Four or more,primary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Toilet,None,Low,2.84,Farming,No,81,78,25,75,58,27,54,900000,Yes,2 hours
901,13-15 years,female,Bangla,Worker,Home maker,Two Children,primary,None,2-3 km,School Bus/Bus,Other,Water,None,Low,2.54,Casual Wage,Yes,31,38,53,78,90,42,23,350000,Yes,2 hours
902,10-13 years,male,Native Language,Private sector,Home maker,None,secondary,secondary,1-2 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,3.18,Casual Wage,No,46,42,79,59,81,69,69,300000,Yes,3 hours
903,13-15 years,male,Bangla,Business,Agriculture,None,primary,secondary,4-5 km,Walk,Electricity,Electricity,Once,Low,2.42,Own business,Yes,92,21,89,20,72,22,23,150000,No,1 hours
904,above 18 years,male,Bangla,Immigrant,Private sector,None,secondary,Honors/Equivalent ,6-7 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,2.56,Remittance,Yes,38,36,34,82,71,75,22,550000,Yes,2 hours
